Iteration,Method,Time_ms,Residual
99,GaussSeidel,11.8276,7.76916e-11
99,SymmetricGS,87.4129,5.66105e-16
99,SymmetricGS_Chebyshev,116.671,3.46418e-05
100,Jacobi,64.9561,5.66105e-16
100,GaussSeidel,11.794,7.76916e-11
100,SymmetricGS,87.7813,5.66105e-16
100,SymmetricGS_Chebyshev,118.556,7.76755e-06
101,Jacobi,65.5787,5.66105e-16
101,GaussSeidel,11.7618,7.76916e-11
101,SymmetricGS,88.7618,5.66105e-16
101,SymmetricGS_Chebyshev,118.927,2.46424e-05
102,Jacobi,66.6312,5.66105e-16
102,GaussSeidel,11.791,7.76916e-11
102,SymmetricGS,89.5568,5.66105e-16
102,SymmetricGS_Chebyshev,119.395,1.04999e-05
103,Jacobi,66.6178,5.66105e-16
103,GaussSeidel,11.8769,7.76916e-11
103,SymmetricGS,90.9221,5.66105e-16
103,SymmetricGS_Chebyshev,121.694,1.65414e-05
104,Jacobi,67.4429,5.66105e-16
104,GaussSeidel,11.8579,7.76916e-11
104,SymmetricGS,91.4713,5.66105e-16
104,SymmetricGS_Chebyshev,121.911,1.10789e-05
105,Jacobi,68.2949,5.66105e-16
105,GaussSeidel,11.7593,7.76916e-11
105,SymmetricGS,92.3144,5.66105e-16
105,SymmetricGS_Chebyshev,122.448,1.03188e-05
106,Jacobi,69.0857,5.66105e-16
106,GaussSeidel,11.7852,7.76916e-11
106,SymmetricGS,93.3066,5.66105e-16
106,SymmetricGS_Chebyshev,123.445,1.03266e-05
107,Jacobi,69.5197,5.66105e-16
107,GaussSeidel,11.7486,7.76916e-11
107,SymmetricGS,94.3376,5.66105e-16
107,SymmetricGS_Chebyshev,124.069,5.7793e-06
108,Jacobi,69.4825,5.66105e-16
108,GaussSeidel,11.7969,7.76916e-11
108,SymmetricGS,94.964,5.66105e-16
108,SymmetricGS_Chebyshev,125.277,8.88378e-06
109,Jacobi,70.0517,5.66105e-16
109,GaussSeidel,11.7788,7.76916e-11
109,SymmetricGS,95.8494,5.66105e-16
109,SymmetricGS_Chebyshev,125.939,2.65133e-06
110,Jacobi,70.8218,5.66105e-16
110,GaussSeidel,11.8314,7.76916e-11
110,SymmetricGS,97.3218,5.66105e-16
110,SymmetricGS_Chebyshev,126.808,7.1895e-06
111,Jacobi,71.688,5.66105e-16
111,GaussSeidel,11.8699,7.76916e-11
111,SymmetricGS,97.4809,5.66105e-16
111,SymmetricGS_Chebyshev,127.626,6.99704e-07
112,Jacobi,71.8879,5.66105e-16
112,GaussSeidel,11.9,7.76916e-11
112,SymmetricGS,98.7143,5.66105e-16
112,SymmetricGS_Chebyshev,128.58,5.51929e-06
113,Jacobi,73.0289,5.66105e-16
113,GaussSeidel,11.8087,7.76916e-11
113,SymmetricGS,99.4378,5.66105e-16
113,SymmetricGS_Chebyshev,130.201,7.28748e-07
114,Jacobi,73.2214,5.66105e-16
114,GaussSeidel,11.7668,7.76916e-11
114,SymmetricGS,100.428,5.66105e-16
114,SymmetricGS_Chebyshev,130.789,4.02762e-06
115,Jacobi,74.4368,5.66105e-16
115,GaussSeidel,11.8239,7.76916e-11
115,SymmetricGS,101.057,5.66105e-16
115,SymmetricGS_Chebyshev,131.582,1.29661e-06
116,Jacobi,78.0699,5.66105e-16
116,GaussSeidel,13.1142,7.76916e-11
116,SymmetricGS,102.119,5.66105e-16
116,SymmetricGS_Chebyshev,132.576,2.78464e-06
117,Jacobi,75.9691,5.66105e-16
117,GaussSeidel,11.7833,7.76916e-11
117,SymmetricGS,102.826,5.66105e-16
117,SymmetricGS_Chebyshev,133.44,1.50986e-06
118,Jacobi,75.9414,5.66105e-16
118,GaussSeidel,11.7945,7.76916e-11
118,SymmetricGS,104.216,5.66105e-16
118,SymmetricGS_Chebyshev,134.125,1.80568e-06
119,Jacobi,77.7768,5.66105e-16
119,GaussSeidel,11.9272,7.76916e-11
119,SymmetricGS,104.943,5.66105e-16
119,SymmetricGS_Chebyshev,135.747,1.48419e-06
120,Jacobi,77.2092,5.66105e-16
120,GaussSeidel,11.8481,7.76916e-11
120,SymmetricGS,105.565,5.66105e-16
120,SymmetricGS_Chebyshev,137.022,1.07353e-06
121,Jacobi,78.1104,5.66105e-16
121,GaussSeidel,11.8027,7.76916e-11
121,SymmetricGS,106.845,5.66105e-16
121,SymmetricGS_Chebyshev,136.926,1.3236e-06
122,Jacobi,79.7711,5.66105e-16
122,GaussSeidel,11.883,7.76916e-11
122,SymmetricGS,107.534,5.66105e-16
